pattern,count
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},7
{term} {term} “{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,7
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} 개",7
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term}, {term} {term} {term} {term}",7
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term},7
"{term} {term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term}, {term} {term} {term} {term} {term} {term} ",7
"{term} {term} {term} {term} {term} {term}, {term} {term} {term} {term}, {term} 후 {term} {term} 후 {term}, {term} {term} {term} {term} {term} {term}",7
{term} {term}: {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,7
{term} {term} “{term} {term} {term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term} {term} {term}.,7
{term} “{term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term}.,7
{term} {term} “{term} {term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term} {term} {term}.,7
{term} “{term} {term} {term} {term} {term} {term} {term}”{term} {term} {term} {term} {term} {term} {term} {term} {term}.,7
{term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term}.,7
{term} {term} 한 주 {term} {term} {term} 볼 {term} ‘{term} {term}’ {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} {term} ,7
{term} {term} {term}.,7
