page_id,region_id,keyword,sheet,row,route,k_exists,original_readiness,final_readiness,hold_reason,generation_allowed
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9:region_tutor,,성당동,대구,34,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9:region_tutor,,용산동,대구,37,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9:region_tutor,,유천동,대구,39,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9:region_tutor,,이곡동,대구,40,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d:region_tutor,,화원읍,대구,44,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b2e4-c0ac-c74d:region_tutor,,다사읍,대구,45,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b2e4-c0ac-c74d/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9:region_tutor,,대구불로동,대구,48,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-b9bc-b3d9:region_tutor,,대림동,대구,49,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-b9bc-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0ac-bcf5-b3d9:region_tutor,,사복동,대구,51,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0ac-bcf5-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c11c-b3d9:region_tutor,,신서동,대구,52,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c11c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c554-b3d9:region_tutor,,신암동,대구,55,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-c554-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c9c0-bb18-b3d9:region_tutor,,지묘동,대구,58,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c9c0-bb18-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d6a8-baa9-b3d9:region_tutor,,효목동,대구,59,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d6a8-baa9-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9:region_tutor,,동호동,대구,60,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-be44-c0b0-b3d9:region_tutor,,비산동,대구,61,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-be44-c0b0-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9:region_tutor,,평리동,대구,62,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9:region_tutor,,가천동,대구,64,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9:region_tutor,,고모동,대구,65,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-c0b0-b3d9:region_tutor,,두산동,대구,67,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-c0b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-bb3c-b3d9:region_tutor,,범물동,대구,69,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-bb3c-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-c5b4-b3d9:region_tutor,,범어동,대구,70,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-c5b4-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0ac-c6d4-b3d9:region_tutor,,사월동,대구,72,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0ac-c6d4-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-c131-b3d9:region_tutor,,수성동,대구,74,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-c131-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b9e4-b3d9:region_tutor,,신매동,대구,76,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b9e4-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-c911-b3d9:region_tutor,,대구중동,대구,77,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-c911-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d30c-b3d9:region_tutor,,파동,대구,79,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d30c-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d669-ae08-b3d9:region_tutor,,황금동,대구,80,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d669-ae08-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b0a8-c0b0-b3d9:region_tutor,,대구남산동,대구,81,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b0a8-c0b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-bd09-b3d9:region_tutor,,대봉동,대구,82,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-bd09-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c131-b85c:region_tutor,,동성로,대구,83,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c131-b85c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c778-b3d9:region_tutor,,동인동,대구,84,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c778-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-c0b0-b3d9:region_tutor,,봉산동,대구,85,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-c0b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0bc-b355-b3d9:region_tutor,,삼덕동,대구,86,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0bc-b355-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-cc3d-b3d9:region_tutor,,수창동,대구,87,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-cc3d-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c54c-d30c-c2dc-d2f0:region_tutor,,알파시티,대구,88,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c54c-d30c-c2dc-d2f0/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-c5f0-d638-c9c0-ad6c:region_tutor,,연호지구,대구,89,/tutor/kr-b300-ad6c-kr-c5f0-d638-c9c0-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc:region_tutor,,대구혁신도시,대구,90,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c548-c2ec:region_tutor,,안심,대구,91,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c548-c2ec/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c774-c2dc-c544-d3f4-b9ac-c2a4:region_tutor,,이시아폴리스,대구,93,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c774-c2dc-c544-d3f4-b9ac-c2a4/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bc18-c6d4-b2f9:region_tutor,,반월당,대구,94,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bc18-c6d4-b2f9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-d14c-d06c-b178-d3f4-b9ac-c2a4:region_tutor,,테크노폴리스,대구,95,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-d14c-d06c-b178-d3f4-b9ac-c2a4/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-b17c-acf5:region_tutor,,논공,대구,96,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-b17c-acf5/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-ad6c-c9c0:region_tutor,,구지,대구,97,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-ad6c-c9c0/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bd80-c0b0:region_tutor,,부산,대구,98,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bd80-c0b0/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-ae30-c7a5-ad70:region_tutor,,기장군,대구,100,/tutor/kr-b300-ad6c-kr-ae30-c7a5-ad70/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-bd80-c0b0-b0a8-ad6c:region_tutor,,부산남구,대구,101,/tutor/kr-b300-ad6c-kr-bd80-c0b0-b0a8-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-b3d9-b798-ad6c:region_tutor,,동래구,대구,102,/tutor/kr-b300-ad6c-kr-b3d9-b798-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-bd80-c0b0-bd81-ad6c:region_tutor,,부산북구,대구,104,/tutor/kr-b300-ad6c-kr-bd80-c0b0-bd81-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-c0ac-c0c1-ad6c:region_tutor,,사상구,대구,105,/tutor/kr-b300-ad6c-kr-c0ac-c0c1-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-c0ac-d558-ad6c:region_tutor,,사하구,대구,106,/tutor/kr-b300-ad6c-kr-c0ac-d558-ad6c/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-c5f0-c81c-ad6c:region_tutor,,연제구,대구,108,/tutor/kr-b300-ad6c-kr-c5f0-c81c-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c:region_tutor,,해운대구,대구,109,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-ad6c-c11c-b3d9:region_tutor,,구서동,대구,110,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-ad6c-c11c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-ae08-c131-b3d9:region_tutor,,금성동,대구,112,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-ae08-c131-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-bd80-c0b0-b0a8-c0b0-b3d9:region_tutor,,부산남산동,대구,113,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-bd80-c0b0-b0a8-c0b0-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-b178-d3ec-b3d9:region_tutor,,노포동,대구,114,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-b178-d3ec-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-b450-ad6c-b3d9:region_tutor,,두구동,대구,115,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-b450-ad6c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-bd80-ace1-b3d9:region_tutor,,부곡동,대구,116,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-bd80-ace1-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-c120-b3d9:region_tutor,,선동,대구,118,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-c120-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-c624-b95c-b3d9:region_tutor,,오륜동,대구,119,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-c624-b95c-b3d9/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-c7a5-c804-b3d9:region_tutor,,장전동,대구,120,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-c7a5-c804-b3d9/region_tutor,true,HOLD_CONTENT_H1,HOLD_CONTENT_H1,content_section_h1,false
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-ae30-c7a5-c74d:region_tutor,,기장읍,대구,121,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-ae30-c7a5-c74d/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
candidate:tutor:kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-cca0-b9c8-ba74:region_tutor,,철마면,대구,123,/tutor/kr-b300-ad6c-kr-d574-c6b4-b300-ad6c-kr-cca0-b9c8-ba74/region_tutor,true,READY_REMOVE_DUPLICATE_H1,READY_REMOVE_DUPLICATE_H1,,true
