page_id,region_id,title,event_centered,fj_reflected,general_tutor_fit,subject_bias,natural_language,ad_like_expression,repeated_skeleton,cta_excessive,observable_measurement,result
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac10-c0bc-b3d9,감삼동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ace1-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ace1-b3d9,대구중구 대곡동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3c4-c6d0-b3d9,대구중구 도원동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-b958-b3d9,두류동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf8-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf8-b3d9,대구중구 본동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf8-b9ac-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bcf8-b9ac-b3d9,본리동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0c1-c778-b3d9,상인동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c131-b2f9-b3d9,성당동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c1a1-d604-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c1a1-d604-b3d9,대구중구 송현동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b2f9-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b2f9-b3d9,대구중구 신당동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6a9-c0b0-b3d9,대구중구 용산동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6d4-c131-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c6d4-c131-b3d9,대구중구 월성동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c720-cc9c-b3d9,대구중구 유천동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c774-ace1-b3d9,이곡동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c7a5-ae30-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c7a5-ae30-b3d9,대구중구 장기동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c8fd-c804-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c8fd-c804-b3d9,대구중구 죽전동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c9c4-cc9c-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c9c4-cc9c-b3d9,대구중구 진천동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d654-c6d0-c74d,화원읍과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b2e4-c0ac-c74d:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b2e4-c0ac-c74d,다사읍과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac01-c0b0-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac01-c0b0-b3d9,각산동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad34-c804-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ad34-c804-b3d9,괴전동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9:region_tutor,kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-bd88-b85c-b3d9,대구불로동과외,True,True,True,False,REVIEW,False,False,False,True,PASS
